PMID,NCTID,Trial_Type,protocol,population,Trial_Inclusion,Trial_Exclusion,DLT_EVA,comments
19396601,NA,Combination,No,advanced solid tumors,"Only patients with histologically conWrmed metastatic or unresectable solid tumors for which there was no standard curative or palliative treatment were enrolled in the study. Patients had to be over 18 years of age, with Eastern Cooperative Oncology Group performance status ·2, estimated life expectancy >12 weeks, and oV-cancer chemotherapeutic or radiation treatment for at least 4 weeks (6 weeks for nitrosoureas or mitomycin C). Adequate bone marrow (neutrophils >= 1,500/ul, hemoglobin ¸8.0 g/dL, and platelets >= 100,000/ul), hepatic function (serum bilirubin ·upper limit of the reference range, serum AST and ALT <= 2.5 X upper limit of the reference range), and renal function (creatinine <= 1.5 upper limit of the reference range or creatinine clearance >= 60 ml/min) were a prerequisite for enrollment in the study.","Patients unable to take oral medications; with brain metastases; history of hypercalcemia or genitourinary stones; patients on digoxin, thiazide, calcium supplements, supra-physiologic doses of glucocorticoids (exceeding the equivalent of 15 mg of hydrocortisone/day), and/or allergic to calcitriol or geWtinib were excluded from study. HIV-positive patients were not eligible because of possible pharmacokinetic interaction with antiretroviral drugs. ",on cycle 1 (first 4 weeks of treatment),NA
21606412,NCT00215605,Single Drug,No,Medullary Thyroid Cancer,"The study enrolled adult patients with histologically confirmed solid tumors or lymphomas that were metastatic or unresectable who were no longer responding to conventional therapies or who had disease for which no standard therapy exists. All patients had an Eastern Cooperative Oncology Group performance status score of 0 to 2 and life expectancy longer than 3 months. Additional parameters for study entry included adequate neutrophil counts (>= 1,500/uL), platelets (>= 100,000/uL), hemoglobin (>= 9g/dL), bilirubin (>= 1.5 mg/dL), serum creatinine (< 1.5 mg/dL), and ALT and AST (<=2.5 X upper limit of normal with no liver involvement or <= 5 X upper limit of normal with liver involvement).","Patients were ineligible if they had received chemotherapy or immunotherapy within 4 weeks, nitrosourea therapy within 6 weeks, or radiotherapy or investigational agents within 30 days of the first dose of cabozantinib. Patients with brain metastases, uncontrolled intercurrent illness, or known HIV infection were ineligible.",NA,NA
22975213,NA,Single Drug,No,advanced solid tumours,"Patients (18–70 years of age) with histologically proven cancer at first diagnosis were eligible, provided that the neoplastic disease was advanced and either refractory to conventional treatment or for which no standard therapy existed. Patients were required to have a life expectancy of at least 12 weeks, an Eastern Cooperative Oncology Group performance status of 0–2 and not to have received previous anticancer therapy (radiotherapy or chemotherapy) for at least 4 weeks. Prior paclitaxel or docetaxel therapy was allowed. Patients were required to have recovered from the toxic effects of any previous treatment (current grade 61, except for alopecia, for which any grade was permitted). Patients were also required to have adequate organ function, which was indicated by neutrophils >= 2.0 X 109/l; platelets >= 100 X 109/l, serum creatinine <120 lmol/l (if values were borderline, the creatinine clearance [CL] had to be P60 ml/min), total bilirubin within the normal limits, and alanine aminotransferase, aspartate aminotransferase and alkaline phosphatase <= 2.5 times the upper limit of normal for the treating institution.","Patients with haematologic malignancies or symptomatic brain metastases, patients receiving concurrent treatment with other experimental drugs, any anticancer therapy or corticosteroids (with the exception of chronic treatment), patients with prior extensive radiotherapy (>20% of bone marrow area) and pregnant or breastfeeding women were ineligible. Patients were also ineligible if they had another serious medical condition that could hamper participation in the study. A further exclusion criterion was receipt of more than two prior chemotherapy regimens for advanced disease, more than two regimens containing mitomycin C or nitrosoureas or any prior intensive therapy with autologous stem cell rescue.",during the first cycle,NA
23435876,NA,Combination,No,advanced non-small-cell lung cancer,"Key inclusion criteria included histologically or cytologically confirmed metastatic (pleural metastasis or IV) nonsmall-cell lung cancer (NSCLC) in patients[18 years who were chemotherapy naı¨ve with evaluable or measurable disease (for phase II) defined by the Response Evaluation Criteria in Solid Tumors (RECIST), Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0 to 1, with adequate bone marrow function (neutrophils >1,500/lL, hemoglobin > 10 g/dL and platelets[100,000/lL), adequate hepatic function (total bilirubin within the upper limit of the institutional normal range, transaminases (SGOT or SGPT) <= 1.5 times the upper limit of the institutional normal range), adequate renal function (creatinine within the upper limit of the institutional normal range; creatinine clearance >= 50 mL/min). Patients had to have normal cardiac function or compensated heart disease with no history of unstable angina or CHF in the 6 weeks prior to study entry. Palliative radiation was permitted as long as the amount of bone marrow exposed was not >10 %. Palliative radiation to brain metastasis was allowed as long as 2 weeks had elapsed following whole brain radiation; no wait was required for stereotactic radiosurgery. Women could not be pregnant or lactating. The expected life expectancy at study enrollment of least 3 months was required. Prior adjuvant chemotherapy use was permitted.","Key exclusion criteria included presence of any grade >= 2 peripheral neuropathy or history of severe hypersensitivity reaction to 1,25-D3, cisplatin or docetaxel or other drugs formulated with polysorbate 80, hypercalcemia (serum albumin corrected calcium > 10.7 mg/dL), history of renal/bladder stones in the previous 10 years, single kidney or uncontrolled heart disease. Concurrent use of calcium supplements, thiazides, digoxin, glucocorticoids, phenytoin, barbiturates, rifampin, carbamazepine, phenobarbital or St John’s Wort was not permitted.",during the first treatment cycle,NA
24099585, NCT01755390,Single Drug,No,advanced solid tumours,"The study included patients (18–70 years of age) with progressive, histologically proven, advanced neoplastic disease that was either refractory to conventional treatment or for which no standard therapy existed. Patients were required to have adequate organ function, a life expectancy of ≥ 12 weeks and Eastern Cooperative Oncology Group performance status 0–2. Prior therapies were permitted providing they had been terminated a minimum of 4 weeks prior to the start of the study (depending on the therapy), and the patient had fully recovered from any toxic effects of treatment. Prior paclitaxel and/or docetaxel treatment was permitted providing there was no residual evidence of taxane toxicity (exceptions included alopecia [any grade] or peripheral neuropathy [not exceeding Grade 1]).","Patients with haematological malignancies or symptomatic brain metastases were ineligible, as were pregnant or lactating women and those receiving concurrent treatment with other experimental drugs, any anticancer therapy or corticosteroids (unless as chronic treatment). Patients were also ineligible if they had another serious medical condition, current peripheral neuropathy of any origin or a history of severe allergic reaction to docetaxel or paclitaxel. Patients who had received previous extensive radiotherapy (> 20% of bone marrow area), prior intensive therapy with autologous stem cell rescue, more than two prior chemotherapy regimens for advanced disease or more than two regimens containing mitomycin C or nitrosoureas were also excluded from the study.",at the first cycle,NA
24488323,NA,Combination,No,castration‑resistant prostate cancer,"Patients who had not undergone surgery for >4 weeks prior to registration for the study and fulfilled the following eligibility criteria were included: histologically or cytologically proven prostate adenocarcinoma was refractory to hormone therapy (prior castration by orchiectomy and/or chemical castration and documented progression of disease or relapse) or docetaxel, age between 20 and 74 years, a life expectancy of ≥12 weeks, and an Eastern Cooperative Oncology Group (ECOG) performance status score of 0–2. ","Patients with a serum creatinine level of >1.5 mg/dL, compromised liver function (serum bilirubin/alanine transaminase [ALT]/aspartate transaminase [AST] level of >1.5 times the upper normal limit of the institutional norm), neutrophil count of <2.0 × 109/L, platelet count of <100 × 109/L, or hemoglobin level of <9.0 g/dLwere not eligible. Patients were excluded if they had known brain or leptomeningeal involvement, previously undergone extensive radiotherapy, peripheral neuropathy of ≥grade 2 according to the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.0 , other serious diseases including congestive heart failure, angina pectoris, myocardial infarction within 1 year from the time of study registration, uncontrolled hypertension or arrhythmias, significant neurologic or psychiatric disorders such as dementia and seizures, active infections, uncontrolled peptic ulcer, unstable diabetic mellitus, or other contraindications for the use of corticosteroids. Patients with active secondary cancer, those undergoing concurrent treatment with another anticancer chemotherapeutic regimen, or those receiving radiotherapy within 28 days prior to patient registration were also excluded. Patients previously treated with a cumulative docetaxel dose of <225 mg/m2 were also excluded. Patients with a severe immune deficiency, including an AIDS-related illness or active varicella zoster infection, or who were positive for the anti-HCV antibody were not eligible. Patients with a history of a severe hypersensitivity reaction or intolerance to prednisolone, a severe allergic reaction to a taxane, a severe hypersensitivity reaction (≥grade 3) to drugs containing polysorbate 80, or alcoholic hypersensitivity were ineligible",in Cycle 1,NA
25013124,NA,Combination,No,Metastatic Castration Resistant Prostate Cancer,NA,NA,during the 3 weeks following the initial administration,NA
25486878,NCT01497964,Single Drug,No,advanced gastric cancer,"Eligible patients were 18–85 years of age, with histologically and cytologically confirmed unresectable or metastatic gastric adenocarcinoma, including adenocarcinoma of the gastro-esophageal junction, that had failed two prior chemotherapy regimens. Prior chemotherapy with at least one of the following was required: 5-fluorouracil or derivatives, taxanes, platinum compounds or irinotecan. Patients were required to have an Eastern Cooperative Oncology Group performance status ≤1, a life expectancy ≥2 months and adequate hematologic and organ function. ","Patients were excluded if they had received prior cabazitaxel treatment, any anticancer therapy (surgery, chemotherapy, targeted agents, investigational agents) within 4 weeks prior to enrollment in the study (6 weeks for mitomycin-containing regimens), prior radiation therapy within 6 weeks prior to enrollment (except for palliative radiation for local pain control) or treatment with hematopoietic growth factors including granulocyte colony-stimulating factor (G-CSF) within 2 weeks prior to enrollment.",in Cycle 1,NA
26020806,NCT01001221,Combination,No,metastatic or unresectable advanced solid malignancies,"Adult patients with a histologically or cytologically confirmed advanced, refractory solid malignancy that was metastatic or unresectable, and for which standard treatment did not exist, were eligible for this study. ","Exclusion criteria included: Eastern Cooperative Oncology Group (ECOG) performance status (PS) of at least 2, anticipated need for a major surgical procedure or radiation therapy during the study, prior cabazitaxel treatment within 2 years, or a history of grade 3–4 hypersensitivity to taxanes, polysorbate-80, or their derivatives. Patients with any clinically significant toxic effect (excluding alopecia) of prior therapy that had not resolved to grade 1 or lower according to NCI-CTCAE version 3.0 , those who had not completed prior chemotherapy, biologic therapy, targeted noncytotoxic therapy for at least 3 weeks, or radiotherapy for at least 4 weeks before registration; and those who had inadequate organ function (bone marrow, hepatic, renal) were also excluded.",during cycle 1,NA
27439894,NCT01663272,Combination,No,advanced pancreatic cancer,"Patients 18 years and older with pathologically confirmed, locally advanced or metastatic PDAC were eligible. Study participants were required to have good performance status (ECOG 0 or 1) and adequate organ function [absolute neutrophil count ≥1500/mm3, platelets ≥100,000/mm3, hemoglobin≥9 g/dL, serum creatinine ≤1.5 x upper limit of normal (ULN) or calculated creatinine clearance ≥60 mL/min, total serum bilirubin ≤1.5 x ULN, alanine aminotransferase (ALT) and aspartate aminotransferase (AST) ≤ 2.5 x ULN if no disease involvement of the liver, or ≤5 x ULN with liver involvement]. ","Patients were excluded if they had received more than one prior systemic treatment regimen for locally advanced or metastatic PDAC. Prior gemcitabine was allowed only if received as neoadjuvant or adjuvant therapy and provided that at least 6 months had elapsed from the completion of that therapy to study treatment. Other exclusion criteria included brain metastases, major bleeding event within 3 months of study initiation, active treatment with therapeutic doses of anticoagulants, or uncontrolled significant illness including active cardiac disease or gastrointestinal disorders associated with high risk for perforation or fistula formation",within the first 35 days of therapy,NA
28039155,NCT01511536,Combination,No,metastatic castration-resistant prostate cancer (mCRPC) progressing ,"Diagnosis of prostate adenocarcinoma proven histologically or cytologically, resistant to hormone therapy and previously treated with a docetaxel-containing regimen. In Phase 2 part, participants should have been treated with abiraterone acetate for at least 3 months and should continue treatment with abiraterone acetate before study entry Presence of metastatic prostate cancer. Participant must had progressive disease documented by rising PSA defined as 2 sequential increases above a previous lowest reference value (each PSA value must be obtained at least 1 week apart. A PSA value of at least 6 ng/mL was required at study entry). In Phase 1 part, in addition to rising PSA, progressive disease must be documented by: Increase in non-measureable or measurable disease, and/or Appearance of new lesions, including those on bone scan (≥2 new lesions on 2 consecutive bone scans if progressive disease diagnosed on bone scan only) consistent with progressive prostate cancer Effective castration (serum testosterone levels ≤0.50 ng/mL) by orchiectomy and/or luteinizing hormone-releasing hormone agonists /antagonist. If the participant had been treated with luteinizing hormone-releasing hormone agonists/antagonist (i.e., without orchiectomy), then this therapy had been initiated at least 4 weeks prior to cycle 1 day 1 and should be continued throughout the study. Prior anti-androgen therapy should be stopped before enrollment Eastern Cooperative Oncology Group performance status: 0 - 1.","Previous treatment with mitoxantrone or cabazitaxel. Prior bone-seeking radio-isotope therapy (participants treated with Radium223 were not excluded from the study). Radiotherapy to ≥30% of bone marrow. Adverse events from any prior anticancer therapy of grade >1 at the time of enrollment. Prior surgery, radiation, chemotherapy, or other anti-cancer therapy within 4 weeks prior to enrollment in the study (except luteinizing hormone-releasing hormone agonist /antagonist and abiraterone acetate in the Phase 2 part of the study); small field single fraction palliative radiation within 1 week. Prior malignancy. Curatively treated basal cell or squamous cell skin or superficial (pTis, pTa, and pT1) bladder cancer were allowed, as well as any other cancer for which chemotherapy had been completed ≥ 3 years ago and from which the participant had been disease-free for ≥ 3 years. Participation in another clinical trial and any concurrent treatment with any investigational drug within 30 days prior to enrollment. Known brain or leptomeningeal metastases. Any severe acute or chronic medical condition which could impair the ability of the participant to participate to the study or to comply with the study procedures or interfere with interpretation of study results. Other concurrent serious illness or medical conditions Absence of signed and dated participant informed consent form prior to enrollment into the study. History of hypersensitivity to docetaxel, polysorbate 80 Known allergies, hypersensitivity or intolerance to prednisone or excipients of abiraterone acetate Known history of mineralocorticoid excess or deficiency Inadequate organ and bone marrow function Contraindications to the use of corticosteroid treatment. Symptomatic peripheral neuropathy grade > 1 Concurrent treatment with strong inducers or strong inhibitors of cytochrome P450 (CYP450) 3A4 Concurrent treatment with medications metabolized by cytochrome P2D6 (CYP2D6), particularly for those with a small therapeutic window History of cardiac arrhythmias requiring medical therapy such as atrial fibrillation requiring anticoagulation or digoxin/digitalis; uncontrolled angina pectoris. History of congestive heart failure or myocardial infarction within last 6 months was also not allowed. Uncontrolled hypertension (systolic BP ≥160 mmHg or diastolic BP ≥ 95 mmHg). Participants with a history of hypertension were allowed, provided that blood pressure was controlled to within these limits by anti-hypertensive treatment Clinically significant heart disease as evidenced by myocardial infarction, or arterial thrombotic events in the past 12 months, severe or unstable angina, or New York Heart Association Class III or IV heart disease or cardiac left ventricular ejection fraction measurement of <50% at baseline Participants with reproductive potential who did not agree to use accepted and effective method of contraception in conjunction with their partner(s) during the study treatment period. The above information is not intended to contain all considerations relevant to a participant's potential participation in a clinical trial.",during Cycles 1 and 2,NA
28058445,NCT01140607,Single Drug,No,"advanced, non-hematologic cancer","Eligible patients were aged ≥18 years with a life expectancy of >3 months, diagnosed with metastatic or locally advanced non-hematologic cancer for which no effective curative therapy was available, had refractory or progressive disease following standard therapies, and had normal hepatic function or chronic hepatic impairment. Patients were enrolled into one of four cohorts based on their degree of hepatic function, defined using National Cancer Institute (NCI) criteria . Cohort 1 had normal hepatic function, defined as total bilirubin and aspartate aminotransferase (AST) ≤ institutional upper limit of normal (ULN); Cohort 2 had mild hepatic impairment, defined as total bilirubin >1.0 to ≤1.5 × ULN or AST >1.5 × ULN; Cohort 3 had moderate hepatic impairment, defined as total bilirubin >1.5 to ≤3.0 × ULN; and Cohort 4 had severe hepatic impairment, defined as total bilirubin >3.0 to 10.0 × ULN. Stable liver function or dysfunction was required.","Key exclusion criteria included Eastern Cooperative Oncology Group (ECOG) performance status >2, prior bone marrow transplant or cabazitaxel, known brain metastases, history of Gilbert’s syndrome or grade ≥3 hypersensitivity to taxanes, polysorbate 80or similar compounds, prior anticancer therapy <3 weeks before study initiation, concurrent or planned participation in another clinical trial, expected need for major surgery or radiation therapy during the study, other concurrent serious illness, acute or chronic medical illness or psychiatric condition that might affect the trial results or the patients’ ability to participate. Patients with significant laboratory abnormalities requiring further investigation, unresolved significant toxicity from prior therapy, or inadequate organ function were also excluded.",during cycle 1,NA
27862097,NCT01513733,Combination,No,Heavily Pretreated Metastatic Castration Resistant Prostate Cancer (mCRPC),"Eligible men had be 18 years of age or older and have confirmed prostate adenocarcinoma without small cell features, ongoing ADT with a baseline serum testosterone of less than 50 ng/dl, and castrate resistant disease progression defined by having at least 1 of 3 criteria: (i) PSA progression defined by consecutive PSA rise with a minimum of three rising PSA levels with an interval of >=1 week between each determination and a screening PSA of >= 2 ng/ml; (ii) soft tissue disease progression defined by RECIST1.1 ; and (iii) bone metastatic disease progression defined by one or more new lesions on bone scan that are not clinically consistent with tumor flare. Patients were required to have radiographic evidence of metastatic disease and have a KPS of 70 or higher. Patients could have no more than three prior chemotherapy regimens with at least one regimen having docetaxel, or be intolerant of docetaxel.Patients were required to be <80 years of age in the phase I dose escalation phase, but the dose expansion phase did not have age limits. All patients were required to have a life expectancy of at least 3 months, and patients could not have major infectious co-morbidities, untreated brain or epidural metastases, significant renal, hepatic, cardiac or bone marrow dysfunction, or grade 3 or more neuropathy judged by NCI Common Toxicity Criteria v4.0. Patients had to have been able to swallow the study drug and comply with study requirements.",NA,"prolonged DLT observation period of 6 weeks (dose level 1), 9 weeks (dose level 2), and 12 weeks (dose level 3)",NA
28352985,NCT00596648,Combination,No,non-small cell lung cancer,"Eligible patients had histologically confrmed Stage IIIb or IV NSCLC. Patients were at least 18 years old, had adequate organ and marrow function with an absolute neutrophil count ≥1500/mm3, platelets ≥100,000/mm3, hemoglobin ≥9  g/dL, bilirubin ≤1.5 times the upper limit of normal (ULN), serum creatinine ≤1.5 mg/dL or calculated creatinine clearance ≥60 mL/min, and alanine aminotransferase and aspartate aminotransferase ≤2.5 times ULN. In addition to these eligibility criteria, patients enrolled in phase I must have failed prior treatment with erlotinib but tolerated erlotinib at a dose greater than or equal to the dose of the cohort in which they were assigned. Patients had to have an Eastern Cooperative Oncology Group (ECOG) performance status of ≤2.","Patients with uncontrolled brain metastases, clinically signifcant hemoptysis, and hematemesis were excluded. Patients were also excluded for the presence of cavitary pulmonary lesion(s), endobronchial lesion or a lesion abutting a major blood vessel, pregnancy or lactation, serious intercurrent illness, uncontrolled hypertension [sustained blood pressure (BP) readings of >140  mmHg systolic or >90  mmHg diastolic], unhealed wounds from recent surgery, or congestive heart failure, unstable angina, or clinically signifcant cardiac arrhythmias within 3  months, or transient ischemic attack, stroke, or myocardial infarction within 6 months. Anti-cancer therapy, other than erlotinib (or geftinib in phase II), was not allowed within 4 weeks prior to entry.",during the frst 28  days of treatment,NA
28263212,NA,Combination,No,Metastatic Castration-Resistant Prostate Cancer,"Men with histologically confirmed prostate carcinoma were eligible if they had bone metastatic disease and evidence of disease progression despite serum testosterone of less than 50 ng/dL. Minimum evidence of prostate-specific antigen (PSA) progression was defined as a 25% increase in PSA over a reference value of PSA, provided that the increase was more than 2 ng/mL. Radiological progression was assessed using the RECIST 1.1 criteria. Bone metastases had to show uptake of 99mTc–hydroxymethylene diphosphonate at bone scintigraphy. All patients were pretreated with docetaxel. Previous exposure to 188Re-HEDP or 223Ra-chloride was not allowed within 2 months prior to inclusion. Other inclusion criteria were World Health Organization performance status 0 or 1, age older than 18 years, and life expectancy of at least 3 months. Patients were required to have an absolute neutrophil count (ANC) 1.5 X 109/L or greater, a platelet count 100 X 109/L or greater, a hemoglobin 9.0 g/dL or greater, and adequate renal and liver function",NA,The first 7 weeks after administration of 188Re-HEDP ,NA
28688700,NA,Combination,No,locally advanced squamous cell carcinoma of head and neck (LA-SCCHN),"Eligible patients with histologically confirmed stage IV SCC of the oral cavity, oropharynx, nasopharynx, larynx, hypopharynx and unknown primary were enrolled into the escalation cohort regardless of HPV status. HPV positive patients with SCC of the oropharynx or unknown primary were allowed in the expansion cohort if they were current smokers, where current smoking was defined as either active smoking within the past 20 years with a cumulative pack-year history of >20 pack-years, or active smoking (>1 cigarette per day) within the last 5 years. HPV status was determined before enrollment by p16 immunohistochemistry (IHC) with confirmatory HPV testing by PCR. Patients with metastatic SCCHN (except for symptomatic, unstable brain metastases) were allowed in the escalation cohort, but not in the expansion cohort. Patients had measurable disease of the primary tumor, lymph nodes or both by clinical and radiographic methods per Response Evaluation Criteria in Solid Tumor (RECIST) version 1.1. No prior therapy or any other investigational agents were allowed. ECOG performance status of 0 or 1 and normal hepatic, renal and bone marrow function were required.","Exclusion criteria included grade 2 or greater peripheral neuropathy by the National Cancer Institute Common Toxicity Criteria for Adverse Events (NCI CTCAE) version 3.0, other serious comorbid illness, and involuntary weight loss of more than 20% of body weight in the 3 months preceding study entry.",NA,NA
28960265,NCT01961765,Single Drug,No,Acute Myeloid Leukemia,"Patients were eligible for enrollment if they were 18 years or older with relapsed/refractory AML or if they were 70 years old or older with newly diagnosed disease. Participants were required to have an Eastern Cooperative Oncology Group performance status of 0 or 1; a cardiac ejection fraction greater than or equal to 50%; and intact organ function, as manifested by aspartate aminotransferase, alanine aminotransferase, and alkaline phosphatase levels less than 3 times the upper limit of normal, a direct bilirubin level less than 1.5 mg/dL, a lipase level less than 2.0 times the upper limit of normal, and a creatinine clearance greater than or equal to 50 mL/min. ","but were ineligible for or declined conventional therapy. In addition, because of the range of enzymes inhibited by cabozantinib, which includes VEGFR2, patients with severe hypertension, cavitary lung lesions or significant hemoptysis, active peptic ulcer disease, bowel inflammation, an obstruction or perforation, or recent major surgeries were excluded",during cycle 1 of the treatment,NA
29750396,NCT01751308,Single Drug,No,pediatric patients with refractory solid tumors including tumors of the central nervous system,"Eligible patients were 2–18 years old, had acceptable performance status (Lansky ≥60 for patients ≤10 years of age; Karnofsky ≥60% for patients >10 years of age), adequate organ function and a body surface area (BSA) <2.1 m2. Patients must have recovered from acute toxic effects of all prior therapy to grade ≤1 before study entry","Patients were excluded if they had systemic anticancer therapy within ≤3 weeks of study entry; investigational agents or small field radiotherapy ≤4 weeks; craniospinal (or other large-field) radiation therapy ≤6 months prior to the first cabazitaxel dose; prior systemic radioisotope therapy or total body irradiation; prior bone marrow or stem cell transplant; or any clinically significant illness that could not be controlled with appropriate therapy, would compromise cabazitaxel tolerability, or result in an inability to assess toxicity. Patients requiring concomitant treatment with strong inhibitors/inducers of CYP3A4 or enzyme-inducing anti-epileptic drugs 14 days prior to the first cabazitaxel dose were excluded",during cycle 1,NA
31765988,NA,Combination,EudraCT2011-003169-13,oesophagogastric adenocarcinoma,"Age ≥ 18 years. WHO performance status 0-1. Adequate respiratory and cardiac function. Able to give informed consent and be capable of co-operating with protocol. Haematological and biochemical indices within the ranges shown below: Haemoglobin (Hb) ≥10g/dl, Neutrophils≥ 2000/µl, Platelet count ≥ 100.000/µl, AST or ALT ≤ 3 ULN, alkaline phosphatase ≤ 2x ULN, Serum Bilirubin ≤ 1.5 ULN, Creatinine Clearance ≥ 50ml/min (Calculated by Cockcroft Gault equation, or by EDTA). Able to swallow oral medication. Male patients must use a barrier method of contraception (female condom or diaphragm are not acceptable) during the study and after cessation of therapy for 6 months. Patients with locally advanced or metastatic gastro-oesophageal adenocarcinoma, i.e. inoperable. Women of child bearing potential must use an acceptable method of contraception during the study and after cessation of therapy for 4 months, and have a negative pregnancy test","Previous chemotherapy for oesophago-gastric adenocarcinoma. Squamous cell pathology. Uncontrolled angina, myocardial infarction within 6 months, heart failure or impaired LV function on echocardiogram/MUGA, uncontrolled arrhythmias. History of interstitial lung disease. Known peripheral neuropathy >Grade 1. Other experimental treatment ≤ 4 weeks prior to this study (including chemotherapy and immunotherapy). Known or expected dihydropyridime dehydrogenase deficiency. Resting ECG with QTc >480msec at 2 or more time points within a 24h period. Requirement for medication known to inhibit or induce CYP3A4 or 2D6, or medication known to prolong QT interval. History of other malignancy less than 5 years before the diagnosis of oesophageal cancer, EXCLUDING the following: Non-melanoma skin cancer, in situ carcinoma of the cervix treated surgically with curative intent, other malignant tumours that have been treated curatively and patient is deemed disease-free. Active infections (including chronic hepatitis type B or C and HIV infection if status known), severe immunologic defect, compromised bone marrow function. Prior diagnosis of dry eye syndrome or eye-lid/eye-lash abnormalities. History of eye injury, corneal surgery, orbital irradiation, collagen vascular, chronic inflammatory or denegerative disease with eye involvement, clinically significant ocular surface disease. Known hypersensitivity to any component of chemotherapy. Pregnancy, inadequate or unreliable contraceptive measures during participation in the trial; breast feeding. Other psychological, social or medical condition, physical examination finding or a laboratory abnormality that the Investigator considers would make the patient a poor trial candidate or could interfere with protocol compliance or the interpretation of trial results.",during cycle 1,NA
32175106,NA,Combination,No,advanced pancreatic adenocarcinoma,"Patients eligible for enrollment were at least 18 years of age, had histologically or cytologically proven metastatic or unresectable PDAC, and had progressed on or were intolerant of prior gemcitabine-based therapy. Inclusion criteria required ECOG performance status of 0–2, and adequate bone marrow and organ function [ANC >1,000/µL, platelets >100,000/µL, total bilirubin ≤2 mg/dL, creatinine ≤2 mg/dL, AST or ALT ≤2.5× ULN (≤5× ULN in the setting of liver metastases)].","Exclusion criteria included prior chemotherapy or radiotherapy within two weeks of study entry, known brain metastases, prior treatment with aminopeptidase inhibitor, known dihydropyrimidine dehydrogenase deficiency (DPD), significant cardiovascular disease or known HIV positivity on combination antiretroviral therapy.",during cycle 1,NA
33206291,NCT01588522,Combination,No,solid tumor,"Patients enrolled in the trial must be at least 18 years of age and able to provide informed consent for participation in the trial. In addition, patients were required to be scheduled to receive a weekly taxane-based regimen for a pathologically confrmed solid tumor. Patients should have no evidence of alopecia or mild alopecia, categorized using the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI-CTCAE) v 4.0. Patients with female/male-pattern baldness or age-related alopecia were allowed if not> Grade 1 (hair loss of<50% of normal for that individual that was not obvious from a distance but only on close inspection; a diferent hair style could be required to cover the alopecia but it does not require a wig or hair piece to camoufage) per NCI-CTCAE v4.0 and patients who had previously lost their hair could enroll if they had Grade 0 or 1 alopecia. Additional criteria included Eastern Cooperative Oncology Group (ECOG) Performance Score of 0 or 1 within 14 days prior to registration, baseline neutrophil counts o f>1500 cells/mm3 within 72 h prior to registration, and serum calcium≤upper limit of normal, and ULN (for patients with an albumin <3.0, a corrected serum calcium=serum calcium+[0.8] [3.5- serum albumin]) within 72 h prior to registration.","Patients were excluded if they met any of the following criteria: receiving calcium-lowering therapy or drugs that may afect calcium levels (e.g., calcitonin, mithramycin, phosphate, or denosumab) within 4 weeks of initiation of topical calcitriol or receiving bisphosphonates or calcium-lowering therapy for 3 months or greater prior to the start of the trial. Additional exclusion criteria included a history of drug or alcohol abuse within 1 year of study enrollment, patients who elected to shave the scalp hair prior to the initiation of chemotherapy or planning to do so during the chemotherapy treatment, and any dermatological condition that, in the opinion of the investigator, would impact the absorption of the study medication, e.g., atopic dermatitis, etc. Patients were excluded if they received an investigational agent within 30 days or six half-lives of its biologic activity (whichever is shorter) before the start of study drug, had a history of hypercalcemia or Vitamin D toxicity, or hospitalization for treatment of angina, myocardial infarction, or congestive heart failure or psychiatric illness currently or within 30 days of study entry as determined by the investigator. Patients could take vitamin D supplements if they had been on them for 30 days or more prior to the initiation of the study, and the dose of the Vitamin D supplement had to remain the same throughout the study, received medications known to afect calcium levels within 4 weeks of initiation of topical therapy (>500 international unit, IU, Vitamin A, calcium supplements, fuoride, or antiepileptics), with the exception of patients on stable therapy for>6 months, or a history of hypercalcemia or kidney stones. There also could be no self-report of signifcant hair breakage or hair damage and associated alopecia from hair over processing within the last 30 days due to peroxide applications, permanent hair coloring, bleaches, streaking, perms, relaxers, and/or hair oxidative dyes, current alopecia Grade 2 or greater (as per NCI-CTCAE v4.0), or signifcant alopecia or hair breakage, or prior radiation to the cranium. Finally, patients could not be pregnant or breastfeeding.",during the frst 28 days of topical application and subsequently every 4 weeks by a study clinician,NA
32969563,NCT01683994,Combination,No,metastatic castration-resistant prostate cancer,"Eligible patients had a confirmed history of mCRPC with radiographically measurable disease by Response Evaluation Criteria in Solid Tumours (RECIST) version 1.1 or nonmeasurable disease on Tc99 bone scan. Key inclusion criteria included Eastern Cooperative Oncology Group performance status 0–2, and adequate bone marrow/organ function","Key exclusion criteria included tumour invading major blood vessels, brain metastases/epidural disease, clinically significant bleeding within 3 months, previous chemotherapy for mCRPC and progression of metastatic castration-sensitive prostate cancer on docetaxel",in the first two (3-week) cycles,NA
