PMID,NCTID,CombnID,Drug_Name,MTD_Value,MTD_Unit,Frequency,Schedule,Comments
27336466,NA,180,bevacizumab,5,mg/kg,1,every 2 weeks,Weeks 1 through 6
27336466,NA,180,capecitabine,825,mg/m2,2,days 1-5 every week,5.5 weeks
27336466,NA,180,capecitabine,825,mg/m2,2,days 1-5 every week,5.5 weeks
27336466,NA,180,erlotinib,150,mg,1,daily,Weeks 1 through 6
27336466,NA,180,erlotinib,150,mg,1,daily,Weeks 1 through 6
27336466,NA,180,radiation therapy,50.4,Gy,NA,NA,in 28 fractoions
26715573,NCT00551096,181,gemcitabine,1000,mg/m2,1,"on days 1, 8, 15 of each 28 day cycle",fixed
26715573,NCT00551096,181,capecitabine,850,mg/m2,2,on days 1–21 of each 28 day cycle,fixed
26715573,NCT00551096,181,capecitabine,850,mg/m2,2,on days 1–21 of each 28 day cycle,fixed
26715573,NCT00551096,181,vandetanib,300,mg,1,daily,RP2D
27106554,NA,182,radiation,30,Gy,NA,two weeks,in 10 fractions
25267761,NA,184,glembatumumab vedotin,1.88,mg/kg,1,day 1 of repeated 21 day cycles,RP2D
31138588,NCT02361112,188,pyrotinib,400,mg,1,daily continuously,DLT not reached
19657639,NA,194,capecitabine,1000,mg,2,on days 8–21 of each 28-day cycle,RP2D
19657639,NA,194,capecitabine,1000,mg,2,on days 8–21 of each 28-day cycle,RP2D
19657639,NA,194,mitomycin c,6,mg/m2,1,on day 1 of each 28-day cycle,RP2D
20839949,NA,195,docetaxe,30,mg/m2,1,on days 1 and 8 of every 21-day cycle,RD
20839949,NA,195,oxaliplatin,50,mg/m2,1,on days 1 and 8 of every 21-day cycle,RD
20839949,NA,195,oxaliplatin,50,mg/m2,1,on days 1 and 8 of every 21-day cycle,RD
20839949,NA,195,capecitabine,675,mg/m2,2,on days 1-14 of every 21-day cycle,RD
20839949,NA,195,capecitabine,675,mg/m2,2,on days 1-14 of every 21-day cycle,RD
23263993,NA,196,capecitabine,2250,mg/m2,3,on days 1 and 15 of each 28-day cycle,fixed
23263993,NA,196,capecitabine,2250,mg/m2,3,on days 1 and 15 of each 28-day cycle,fixed
23263993,NA,196,oxaliplatin,85,mg/m2,1,on days 1 and 15 of each 28-day cycle,fixed
23263993,NA,196,oxaliplatin,85,mg/m2,1,on days 1 and 15 of each 28-day cycle,fixed
23263993,NA,196,sorafenib,200,mg,2,e daily takencontinuously,RP2D
20837944,NCT 00618124,197,sunitinib,50,mg,1,2 weeks on treatment followed by 1 week off treatment (3-week cycles),schedule 2/1
20837944,NCT 00618124,197,capecitabine,1000,mg/m2,2,days 1 to 14 of each 3-week cycle,schedule 2/1
20837944,NCT 00618124,197,capecitabine,1000,mg/m2,2,days 1 to 14 of each 3-week cycle,schedule 2/1
20837944,NCT 00618124,197,sunitinib,37.5,mg,1,4 weeks on treatment followed by 2 weeks off treatment (6-week cycles),schedule 4/2
20837944,NCT 00618124,197,capecitabine,1000,mg/m2,2,days 1 to 14 as well as days 22 to 35 of Schedule 4/2,schedule 4/2
20837944,NCT 00618124,197,capecitabine,1000,mg/m2,2,days 1 to 14 as well as days 22 to 35 of Schedule 4/2,schedule 4/2
20837944,NCT 00618124,197,sunitinib,37.5,mg,1,continuous daily dosing (3-week cycles),continuous daily dosing (3-week cycles)
20837944,NCT 00618124,197,capecitabine,1000,mg/m2,2,days 1 to 14 of each 3-week cyle,continuous daily dosing (3-week cycles)
20837944,NCT 00618124,197,capecitabine,1000,mg/m2,2,days 1 to 14 of each 3-week cyle,continuous daily dosing (3-week cycles)
22045498,NA,200,vinflunine,280,mg/m2,1,once every3 weeks,RD
22045498,NA,200,capecitabine,825,mg/m2,2,from days 1 to 14 every 3 weeks,RD
22045498,NA,200,capecitabine,825,mg/m2,2,from days 1 to 14 every 3 weeks,RD
20881475,NCT00121251,203,sorafenib,200,mg,2,continuously,RD
20881475,NCT00121251,203,capecitabine,415,mg/m2,2,on days 1 to 14 withcycles repeated every 21 days,RD
20881475,NCT00121251,203,capecitabine,415,mg/m2,2,on days 1 to 14 withcycles repeated every 21 days,RD
20881475,NCT00121251,203,gemcitabine,750,mg/m2,1,on days 1 and 8 withcycles repeated every 21 days,RD
21404105,NA,204,capecitabine,1000,mg/m2,2,on days 1–14 of a 3 week cycle,RD
21404105,NA,204,capecitabine,1000,mg/m2,2,on days 1–14 of a 3 week cycle,RD
21404105,NA,204,oxaliplatin,130,mg/m2,1,on day  1 of a 3 week cycle,RD
21404105,NA,204,oxaliplatin,130,mg/m2,1,on day  1 of a 3 week cycle,RD
21404105,NA,204,vandetanib,300,mg,1,daily continuously,RD
19693503,NA,207,liposomal doxorubicin,0,mg/m2,1,on day 1 every 21 days,MTD not established
19693503,NA,207,capecitabine,0,mg/m2,2,on days 1–14 every 21 days,MTD not established
19693503,NA,207,capecitabine,0,mg/m2,2,on days 1–14 every 21 days,MTD not established
22977524,EudraCT 2005005548-21,208,erlotinib,0,mg,1,from day 3 to day 10 of each 14-day cycle,MTD not reached
22977524,EudraCT 2005005548-21,208,erlotinib,0,mg,1,from day 3 to day 10 of each 14-day cycle,MTD not reached
22977524,EudraCT 2005005548-21,209,erlotinib,0,mg,1,on days 2-18 every 21 days,MTD not reached
22977524,EudraCT 2005005548-21,209,erlotinib,0,mg,1,on days 2-18 every 21 days,MTD not reached
22977524,EudraCT 2005005548-21,209,capecitabine,825,mg/m2,2,on days 1-14 every 21 days,MTD not reached
22977524,EudraCT 2005005548-21,209,capecitabine,825,mg/m2,2,on days 1-14 every 21 days,MTD not reached
22977524,EudraCT 2005005548-21,209,oxaliplatin,130,mg/m2,1,day 1 every 21 days,MTD not reached
22977524,EudraCT 2005005548-21,209,oxaliplatin,130,mg/m2,1,day 1 every 21 days,MTD not reached
22977524,EudraCT 2005005548-21,209,bevacizumab,7.5,mg/kg,1,day 1 every 21 days,MTD not reached
20397772,NA,210,capecitabine,800,mg/m2,2,daily for five weeks,RD
20397772,NA,210,capecitabine,800,mg/m2,2,daily for five weeks,RD
20397772,NA,210,radiation,55,Gy,NA,"totally for five weeks, with 2.2 Gy/fraction",RD
24661655,NCT00858429,211,90y radioembolization,170,Gy,NA,days 1 to 7 of the second cycle,total dose
22037922,NCT 00544063,5,irinotecan,180,mg/m2,1,on day 1 of each 2-week cycle,XELIRI
22037922,NCT 00544063,5,capecitabine,1750,mg/m2,2,from D1 to D7 every 2 weeks,XELIRI
22037922,NCT 00544063,5,capecitabine,1750,mg/m2,2,from D1 to D7 every 2 weeks,XELIRI
22037922,NCT 00544063,5,oxaliplatin,85,mg/m2,1,on day 1 of each 2-week cycle,XELIRINOX
22037922,NCT 00544063,5,oxaliplatin,85,mg/m2,1,on day 1 of each 2-week cycle,XELIRINOX
22037922,NCT 00544063,5,irinotecan,180,mg/m2,1,on day 1 of each 2-week cycle,XELIRINOX
22037922,NCT 00544063,5,capecitabine,1500,mg/m2,2,from D1 to D7 every 2 weeks,XELIRINOX
22037922,NCT 00544063,5,capecitabine,1500,mg/m2,2,from D1 to D7 every 2 weeks,XELIRINOX
20215798,NA,7,gefitinib,0,mg,1,continuously daily,MTD not further evaluated
20215798,NA,7,capecitabine,0,mg/m2,2,from day 1 to day 14 of each 3-week cycle,MTD not further evaluated
20215798,NA,7,capecitabine,0,mg/m2,2,from day 1 to day 14 of each 3-week cycle,MTD not further evaluated
20216541,NA,10,oxaliplatin,85,mg/m2,1,on day 1 every two weeks,RD
20216541,NA,10,oxaliplatin,85,mg/m2,1,on day 1 every two weeks,RD
20216541,NA,10,irinotecan,150,mg/m2,1,on day 1 every two weeks,RD
20216541,NA,10,capecitabine,1000,mg/m2,2,from day 1 to day 7 every two weeks,RD
20216541,NA,10,capecitabine,1000,mg/m2,2,from day 1 to day 7 every two weeks,RD
21853311,NCT00960349,16,cediranib,20,mg,1,NA,MTD not determined
24091982,NCT00555620,22,sunitinib,25,mg,1,days 1-14 of each 3-week cycle,XP
24091982,NCT00555620,22,capecitabine,1000,mg/m2,2,days 1-14 of each 3-week cycle,XP
24091982,NCT00555620,22,capecitabine,1000,mg/m2,2,days 1-14 of each 3-week cycle,XP
24091982,NCT00555620,22,cisplatin,80,mg/m2,1,on day 1 of each 3-week cycle,XP
24091982,NCT00555620,22,cisplatin,80,mg/m2,1,on day 1 of each 3-week cycle,XP
24091982,NCT00555620,22,sunitinib,37.5,mg,1,days 1-14 of each 3-week cycle,XELOX
24091982,NCT00555620,22,capecitabine,800,mg/m2,2,days 1-14 of each 3-week cycle,XELOX
24091982,NCT00555620,22,capecitabine,800,mg/m2,2,days 1-14 of each 3-week cycle,XELOX
24091982,NCT00555620,22,oxaliplatin,110,mg/m2,1,on day 1 of each 3-week cycle,XELOX
24091982,NCT00555620,22,oxaliplatin,110,mg/m2,1,on day 1 of each 3-week cycle,XELOX
24091982,NCT00555620,22,sunitinib,25,mg,1,days 1-14 of each 3-week cycle,XELOX
24091982,NCT00555620,22,capecitabine,1000,mg/m2,2,days 1-14 of each 3-week cycle,XELOX
24091982,NCT00555620,22,capecitabine,1000,mg/m2,2,days 1-14 of each 3-week cycle,XELOX
24315563,NA,27,capecitabine,0,mg/m2,2,daily on the days of radiation,MTD not reached
24315563,NA,27,capecitabine,0,mg/m2,2,daily on the days of radiation,MTD not reached
24315563,NA,27,bevacizumab,0,mg/kg,1,every 2 weeks,MTD not reached
24315563,NA,27,erlotinib,0,mg,2,daily in the first 3 weeks of radiation,MTD not reached
24315563,NA,27,erlotinib,0,mg,2,daily in the first 3 weeks of radiation,MTD not reached
24315563,NA,27,radiation,50.4,Gy,NA,in 28 fractions,MTD not reached
24114122,NCT00433550,31,irinotecan,75,mg/m2,1,on day 1 of each 3-week cycle,Cohort I (UGT1A1*28/*28 )
24114122,NCT00433550,31,oxaliplatin,85,mg/m2,1,on day 1 of each 3-week cycle,Cohort I (UGT1A1*28/*28 )
24114122,NCT00433550,31,oxaliplatin,85,mg/m2,1,on day 1 of each 3-week cycle,Cohort I (UGT1A1*28/*28 )
24114122,NCT00433550,31,capecitabine,400,mg/m2,2,on days 2-15 of each 3-week cycle,Cohort I (UGT1A1*28/*28 )
24114122,NCT00433550,31,capecitabine,400,mg/m2,2,on days 2-15 of each 3-week cycle,Cohort I (UGT1A1*28/*28 )
24114122,NCT00433550,31,irinotecan,150,mg/m2,1,on day 1 of each 3-week cycle,Cohort II (UGT1A1*1/*28 )
24114122,NCT00433550,31,oxaliplatin,85,mg/m2,1,on day 1 of each 3-week cycle,Cohort II (UGT1A1*1/*28 )
24114122,NCT00433550,31,oxaliplatin,85,mg/m2,1,on day 1 of each 3-week cycle,Cohort II (UGT1A1*1/*28 )
24114122,NCT00433550,31,capecitabine,800,mg/m2,2,on days 2-15 of each 3-week cycle,Cohort II (UGT1A1*1/*28 )
24114122,NCT00433550,31,capecitabine,800,mg/m2,2,on days 2-15 of each 3-week cycle,Cohort II (UGT1A1*1/*28 )
24114122,NCT00433550,31,irinotecan,150,mg/m2,1,on day 1 of each 3-week cycle,Cohort III (UGT1A1*1/*1 )
24114122,NCT00433550,31,oxaliplatin,100,mg/m2,1,on day 1 of each 3-week cycle,Cohort III (UGT1A1*1/*1 )
24114122,NCT00433550,31,oxaliplatin,100,mg/m2,1,on day 1 of each 3-week cycle,Cohort III (UGT1A1*1/*1 )
24114122,NCT00433550,31,capecitabine,1600,mg/m2,2,on days 2-15 of each 3-week cycle,Cohort III (UGT1A1*1/*1 )
24114122,NCT00433550,31,capecitabine,1600,mg/m2,2,on days 2-15 of each 3-week cycle,Cohort III (UGT1A1*1/*1 )
17998790,NA,32,paclitaxel,100,mg/m2,1,on days 1 and 15 every 4 weeks,RP2D
17998790,NA,32,oxaliplatin,50,mg/m2,1,on days 1 and 15 every 4 weeks,RP2D
17998790,NA,32,oxaliplatin,50,mg/m2,1,on days 1 and 15 every 4 weeks,RP2D
17998790,NA,32,capecitabine,1000,mg/m2,2,on days 1–7 and days 15–21 every 4 weeks,RP2D
17998790,NA,32,capecitabine,1000,mg/m2,2,on days 1–7 and days 15–21 every 4 weeks,RP2D
17158771,NA,40,gemcitabine,800,mg,1,on days 1 and 8 every 21 days,RP2D
17158771,NA,40,capecitabine,650,mg/m2,2,on days 1–14 of a 21-day cycle,RP2D
17158771,NA,40,capecitabine,650,mg/m2,2,on days 1–14 of a 21-day cycle,RP2D
17641893,NA,42,capecitabine,829,mg/m2,2,on days 1-21 of each 4-week cycle,RP2D
17641893,NA,42,capecitabine,829,mg/m2,2,on days 1-21 of each 4-week cycle,RP2D
17641893,NA,42,paclitaxe,80,mg/m2,1,"on days 1, 8, and 15 of each 4-week cycle",RP2D
18187954,NA,47,cyclophosphamide,600,mg/m2,1,on day 1 of each 3-week cycle,RD
18187954,NA,47,epirubicin,90,mg/m2,1,on day 1 of each 3-week cycle,RD
18187954,NA,47,capecitabine,900,mg/m2,2,on days 1–14 of eaoch 3-week cycle,RD
18187954,NA,47,capecitabine,900,mg/m2,2,on days 1–14 of eaoch 3-week cycle,RD
16778105,NA,48,irinotecan,30,mg/m2,1,daily for 14 consecutive daysfollowed by 1 week of rest,part 1
16778105,NA,48,irinotecan,30,mg/m2,1,daily for 14 consecutive daysfollowed by 1 week of rest,part 2
16778105,NA,48,capecitabine,800,mg/m2,2,from days 1 to 14 every 3 weeks,part 2
16778105,NA,48,capecitabine,800,mg/m2,2,from days 1 to 14 every 3 weeks,part 2
17600871,NA,49,capecitabine,1000,mg/m2,2,on days 1-14 of each 21-day cycle,RD
17600871,NA,49,capecitabine,1000,mg/m2,2,on days 1-14 of each 21-day cycle,RD
17600871,NA,49,paclitaxel,60,mg/m2,1,"on days 1, 8, and 15 of each 21-day cycle",RD
18525298,NA,55,irinotecan,180,mg/m2,1,on day 1 every 21 days,RP2D
18525298,NA,55,epirubicin,50,mg/m2,1,on day 2 every 21 days,RP2D
18525298,NA,55,capecitabine,750,mg/m2,2,on days 2 to 14 every 21 days,RP2D
18525298,NA,55,capecitabine,750,mg/m2,2,on days 2 to 14 every 21 days,RP2D
16909414,NA,59,capecitabine,0,mg/m2,2,on Days 1–5 and Days 8–12 every 21 days,MTD not reached
16909414,NA,59,capecitabine,0,mg/m2,2,on Days 1–5 and Days 8–12 every 21 days,MTD not reached
16909414,NA,59,temozolomide,0,mg/m2,1,on Days 1–5 and Days 8–12 every 21 days,MTD not reached
16909414,NA,59,temozolomide,0,mg/m2,1,on Days 1–5 and Days 8–12 every 21 days,MTD not reached
19219674,NA,63,cisplatin,25,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",untreated patients
19219674,NA,63,cisplatin,25,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",untreated patients
19219674,NA,63,5-fluorouracil,425,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",untreated patients
19219674,NA,63,irinotecan,65,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",untreated patients
19219674,NA,63,cisplatin,25,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",previously treated patients
19219674,NA,63,cisplatin,25,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",previously treated patients
19219674,NA,63,5-fluorouracil,425,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",previously treated patients
19219674,NA,63,irinotecan,40,mg/m2,1,"repeated 6-week cycles that consisted of weekly treatment for 4 weeks, followed by a 2-week rest period",previously treated patients
18650153,NA,65,ixabepilone,40,mg/m2,1,on day 1 every 3 weeks,Schedule A
18650153,NA,65,capecitabine,1000,mg/m2,2,on days 1-14 of a 21-day cycle,Schedule A
18650153,NA,65,capecitabine,1000,mg/m2,2,on days 1-14 of a 21-day cycle,Schedule A
17415843,NA,68,oxaliplatin,130,mg/m2,1,on days 1 and 22,RP2D
17415843,NA,68,oxaliplatin,130,mg/m2,1,on days 1 and 22,RP2D
14739668,NA,72,cisplatin,30,mg/m2,1,on days 1 and 8 every 3 weeks,step A
14739668,NA,72,cisplatin,30,mg/m2,1,on days 1 and 8 every 3 weeks,step A
14739668,NA,72,irinotecan,60,mg/m2,1,on days 1 and 8 every 3 weeks,step A
14739668,NA,72,capecitabine,1000,mg,2,on days 1-14 every 3 weeks,step A
14739668,NA,72,capecitabine,1000,mg,2,on days 1-14 every 3 weeks,step A
14739668,NA,72,cisplatin,20,mg/m2,1,on days 1 and 8 every 3 weeks,step B
14739668,NA,72,cisplatin,20,mg/m2,1,on days 1 and 8 every 3 weeks,step B
14739668,NA,72,irinotecan,90,mg/m2,1,on days 1 and 8 every 3 weeks,step B
14739668,NA,72,capecitabine,1000,mg,2,on days 1-14 every 3 weeks,step B
14739668,NA,72,capecitabine,1000,mg,2,on days 1-14 every 3 weeks,step B
12196374,NA,74,cisplatin,60,mg/m2,1,on day 1 every 21 days,RP2D
12196374,NA,74,cisplatin,60,mg/m2,1,on day 1 every 21 days,RP2D
12196374,NA,74,epirubicin,50,mg/m2,1,on day 1 every 21 days,RP2D
12196374,NA,74,capecitabine,1000,mg/m2,2,on days 1-14 every 21 days,RP2D
12196374,NA,74,capecitabine,1000,mg/m2,2,on days 1-14 every 21 days,RP2D
15520075,NA,82,ci-994,10,mg/m2,1,daily for 2 weeks of a 3-week cycle,schedule A
15520075,NA,82,capecitabine,850,mg/m2,2,daily for 2 weeks of a 3-week cycle,schedule A
15520075,NA,82,capecitabine,850,mg/m2,2,daily for 2 weeks of a 3-week cycle,schedule A
15520075,NA,82,ci-994,8,mg/m2,1,daily for 2 weeks of a 3-week cycle,schedule C
15520075,NA,82,capecitabine,1000,mg/m2,2,daily for 2 weeks of a 3-week cycle,schedule C
15520075,NA,82,capecitabine,1000,mg/m2,2,daily for 2 weeks of a 3-week cycle,schedule C
15612026,NA,83,gemcitabine,600,mg/m2,1,"on Days 1, 8, and 15 of a 28-daycycle",no acceptable dosage
16601432,NA,86,gemcitabine,0,mg/m2,1,NA,MTD not established
16601432,NA,86,vinorelbine,0,mg/m2,1,NA,MTD not established
16601432,NA,86,capecitabine,0,mg/m2,2,NA,MTD not established
16601432,NA,86,capecitabine,0,mg/m2,2,NA,MTD not established
12763217,NA,87,capecitabine,1050,mg/m2,2,"from day 1 to day 14, every 3 weeks",RD
12763217,NA,87,capecitabine,1050,mg/m2,2,"from day 1 to day 14, every 3 weeks",RD
12763217,NA,87,cyclophosphamide,600,mg/m2,1,on day 1 every 3 weeks,RD
12763217,NA,87,epirubicin,100,mg/m2,1,on day 1 every 3 weeks,RD
15550580,NA,91,vinorelbine,20,mg/m2,1,on days 1 and 8 every 21 days,"RD for patients without bone
involvement"
15550580,NA,91,capecitabine,500,mg/m2,2,on days 1–14 every 21 days,"RD for patients without bone
involvement"
15550580,NA,91,capecitabine,500,mg/m2,2,on days 1–14 every 21 days,"RD for patients without bone
involvement"
15550580,NA,91,capecitabine,625,mg/m2,2,on days 1–14 every 21 days,"RD for patients without bone
involvement"
15550580,NA,91,capecitabine,625,mg/m2,2,on days 1–14 every 21 days,"RD for patients without bone
involvement"
15238990,NA,92,capecitabine,1000,mg/m2,2,"on days 1–14, every 3 weeks",RD
15238990,NA,92,capecitabine,1000,mg/m2,2,"on days 1–14, every 3 weeks",RD
15238990,NA,92,mitomycin c,10,mg/m2,1,on day 1 of each 21-day cycle,RD
16462509,NA,93,capecitabine,1000,mg/m2,2,"from day 1 to day 14, every 3 weeks",RD
16462509,NA,93,capecitabine,1000,mg/m2,2,"from day 1 to day 14, every 3 weeks",RD
16462509,NA,93,oxaliplatin,60,mg/m2,1,"on days 1 and 8, every 3 weeks",RD
16462509,NA,93,oxaliplatin,60,mg/m2,1,"on days 1 and 8, every 3 weeks",RD
15539915,NA,94,capecitabine,0,mg/m2,2,on days 1–14 every 21 days,MTD not established
15539915,NA,94,capecitabine,0,mg/m2,2,on days 1–14 every 21 days,MTD not established
15539915,NA,94,paclitaxel,0,mg/m2,1,"on days 1, 8 and 15 every 21 days",MTD not established
16283312,NA,96,capecitabine,1500,mg,2,on days 1–14 of a 21-day cycle,RP2D
16283312,NA,96,capecitabine,1500,mg,2,on days 1–14 of a 21-day cycle,RP2D
16283312,NA,96,vinorelbine,40,mg,1,on days 1 and 8 of a 21-day cycle,RP2D
11786589,NA,99,gemcitabine,1000,mg/m2,1,"on days 1, 8, and 15 every 4 weeks",RP2D
11786589,NA,99,capecitabine,830,mg/m2,2,on days 1-21 every 4 weeks,RP2D
11786589,NA,99,capecitabine,830,mg/m2,2,on days 1-21 every 4 weeks,RP2D
16446337,NA,100,radiation therapy,5.4,Gy,NA,"1.8 Gy per fraction given daily, Monday through Friday, followed by a 5.4 Gy boost",RP2D not determined
16446337,NA,100,gefitinib,250,mg/m2,1,"daily throughout the course of radiation, beginning on day 1, seven days per week",RP2D not determined
16446337,NA,100,capecitabine,0,mg/m2,2,"daily throughout the course of radiation, beginning on day 1, seven days per week",RP2D not determined
16446337,NA,100,capecitabine,0,mg/m2,2,"daily throughout the course of radiation, beginning on day 1, seven days per week",RP2D not determined
15312392,NA,104,radiotherapy,2,Gy,1,Monday through Friday every week,68 - 72 Gy/34 - 36 fractions was delivered to the nasopharynx and 64 - 70 Gy/32 - 35 fractions to the node-positive area
15312392,NA,104,capecitabine,750,mg/m2,2,on days 1-14 at 3 weekly intervals for two cycles,RD
15312392,NA,104,capecitabine,750,mg/m2,2,on days 1-14 at 3 weekly intervals for two cycles,RD
16062072,NA,105,capecitabine,750,mg/m2,2,on days 1 to 10 in a 21-day cycle,or 1000 mg/m2
16062072,NA,105,capecitabine,750,mg/m2,2,on days 1 to 10 in a 21-day cycle,or 1000 mg/m2
16504126,NA,106,capecitabine,0,mg,3,Days 1–14 of a 21-day cycle,1/4 of dose at 8:00 a.m.; 1/4 of dose at 6:00 p.m. and 1/2 of dose at 11:00 p.m
16504126,NA,106,capecitabine,0,mg,3,Days 1–14 of a 21-day cycle,1/4 of dose at 8:00 a.m.; 1/4 of dose at 6:00 p.m. and 1/2 of dose at 11:00 p.m
12351595,NA,107,irradiation,825,mg/m2,2,Monday through Friday over a period ofapproximately 6 weeks,RP2D
34562230,NCT02419495,111,selinexor,60,mg,1,"on days 1, 8, and 15 of each 21-day cycle",RP2D
34562230,NCT02419495,111,carboplatin,5,AUC,1,on day 1 every 3 weeks,RP2D
34562230,NCT02419495,111,carboplatin,5,AUC,1,on day 1 every 3 weeks,RP2D
34562230,NCT02419495,111,paclitaxel,175,mg/m2,1,on day 1 every 3 weeks,RP2D
34607210,NCT02944396,112,veliparib,240,mg,2,on Day –2 (2 days prior to start of CT) through Day 5 of each 21-day cycle for six cycles,C/PEM; RP2D
34607210,NCT02944396,112,nivolumab,260,mg,1,"on Day 1 every 3 weeks of Cycles 1–6, then every 3 weeks until disease progression",C/PEM; RP2D
34607210,NCT02944396,112,carboplatin,6,AUC,1,on Day 1 every 3 weeks for six cycles,C/PEM; RP2D
34607210,NCT02944396,112,carboplatin,6,AUC,1,on Day 1 every 3 weeks for six cycles,C/PEM; RP2D
34607210,NCT02944396,112,pemetrexed,500,mg/m2,1,on Day 1 every 3 weeks for six cycles,C/PEM; RP2D
34607210,NCT02944396,112,veliparib,120,mg,2,on Day –2 (2 days prior to start of CT) through Day 5 of each 21-day cycle for six cycles,C/PAC; RP2D
34607210,NCT02944396,112,nivolumab,360,mg,1,"on Day 1 every 3 weeks of Cycles 1–6, then every 3 weeks until disease progression",C/PAC; RP2D
34607210,NCT02944396,112,carboplatin,6,AUC,1,on Day 1 every 3 weeks for six cycles,C/PAC; RP2D
34607210,NCT02944396,112,carboplatin,6,AUC,1,on Day 1 every 3 weeks for six cycles,C/PAC; RP2D
34607210,NCT02944396,112,paclitaxel,200,mg/m2,1,on Day 1 every 3 weeks for six cycles,C/PAC; RP2D
34311345,NCT02412371,113,veliparib,240,mg,2,NA,Concurrent CRT
34311345,NCT02412371,113,carboplatin,2,AUC,1,on Day 1 of each week during RT,Concurrent CRT
34311345,NCT02412371,113,carboplatin,2,AUC,1,on Day 1 of each week during RT,Concurrent CRT
34311345,NCT02412371,113,paclitaxel,45,mg/m2,1,on Day 1 of each week during RT,Concurrent CRT
34311345,NCT02412371,113,rt,60,Gy,NA,"in 30 daily fractions, 5 days of every 7",Concurrent CRT
34311345,NCT02412371,113,veliparib,120,mg,2,"Day –2 through Day 5, i.e., for 7 days, of each 21-day cycle",consolidation
34311345,NCT02412371,113,carboplatin,6,AUC,1,on Day 1 of each 21-day cycle,consolidation
34311345,NCT02412371,113,carboplatin,6,AUC,1,on Day 1 of each 21-day cycle,consolidation
34311345,NCT02412371,113,paclitaxel,200,mg/m2,1,on Day 1 of each 21-day cycle,consolidation
31190276,NCT00268905,116,eribulin,1.4,mg/m2,1,on days 1 and 8 of a 21-day cycle,"eribulin followed by
carboplatin (Schedule A)"
31190276,NCT00268905,116,carboplatin,5,AUC,1,on day 1 of the21-day cycle,"eribulin followed by
carboplatin (Schedule A)"
31190276,NCT00268905,116,carboplatin,5,AUC,1,on day 1 of the21-day cycle,"eribulin followed by
carboplatin (Schedule A)"
31190276,NCT00268905,116,eribulin,1.1,mg/m2,1,on days 1 and 8 of a 21-day cycle,"eribulin followed by
carboplatin (Schedule A)"
31190276,NCT00268905,116,carboplatin,6,AUC,1,on day 1 of the21-day cycle,"eribulin followed by
carboplatin (Schedule A)"
31190276,NCT00268905,116,carboplatin,6,AUC,1,on day 1 of the21-day cycle,"eribulin followed by
carboplatin (Schedule A)"
33634324,NCT01304303,122,picn,295,mg/m2,1,on Day 1 of every 3-week cycle,Part A
33634324,NCT01304303,122,carboplatin,5,AUC,1,on Day 1 of every 3-week cycle,Part B
33634324,NCT01304303,122,carboplatin,5,AUC,1,on Day 1 of every 3-week cycle,Part B
33634324,NCT01304303,122,picn,295,mg,1,on Day 1 of every 3-week cycle,Part B
31388792,NCT00891072,124,at-101,40,mg,2,"on days 1, 2 and 3of each 21-day cycle",MTD not determined
34052705,NCT02185690,125,binimetinib,30,mg,2,on days 1–14 of a 21-day cycle,RP2D
34052705,NCT02185690,125,carboplatin,0,AUC,1,"on day 8 of  the first 21-day cyccle, on day 1 of each subsequent cycle",RP2D
34052705,NCT02185690,125,carboplatin,0,AUC,1,"on day 8 of  the first 21-day cyccle, on day 1 of each subsequent cycle",RP2D
34052705,NCT02185690,125,pemetrexed,0,mg/m2,1,"on day 8 of  the first 21-day cyccle, on day 1 of each subsequent cycle",RP2D
31708167,NCT00989651,126,veliparib,250,mg,2,continuous (c) ) days 1-21 every 21 days,Reg1c
31708167,NCT00989651,126,paclitaxel,175,mg/m2,1,day 1 every 21 days,Reg1c
31708167,NCT00989651,126,carboplatin,6,AUC,1,day 1 every 21 days,Reg1c
31708167,NCT00989651,126,carboplatin,6,AUC,1,day 1 every 21 days,Reg1c
31708167,NCT00989651,126,bevacizumab,15,mg/kg,1,day 1 (starting cycle 2) every 21 days,Reg1c
31708167,NCT00989651,126,veliparib,400,mg,2,intermittent (i)  days -2 to 5 every 21 days,Reg1i
31708167,NCT00989651,126,paclitaxel,175,mg/m2,1,day 1 every 21 days,Reg1i
31708167,NCT00989651,126,carboplatin,5,AUC,1,day 1 every 21 days,Reg1i
31708167,NCT00989651,126,carboplatin,5,AUC,1,day 1 every 21 days,Reg1i
31708167,NCT00989651,126,bevacizumab,15,mg/kg,1,day 1 (starting cycle 2) every 21 days,Reg1i
31708167,NCT00989651,126,veliparib,150,mg,2,continuous (c) ) days 1-21 every 21 days,Reg2c
31708167,NCT00989651,126,paclitaxel,80,mg/m2,1,"on days 1, 8, and 15 every 21 days",Reg2c
