PMID,NCTID,ES,DesignType,schema
26210442,NCT00448357,Escalation,3 + 3,"In the phase I portion of the study, patients were dosed in cohorts according to the 5 target AUC levels. Additional patients were enrolled at dose level 1 (standard dose) during the phase I and II portions of the study if their insurance coverage did not allow enrollment onto a phase I study. The MTD was defined as the dose with the dose-limiting toxicity (DLT) rate of .25. A dose assignment strategy that allowed for delayed toxicity outcome was used [31]. Initial escalation was in cohorts of 3 patients until at least 1 patient developed a DLT. After the initial dose escalation, patients were assigned to the current dose cohort if estimated DLT rate at the current dose was between .15 and .35. The dose was increased or decreased if the estimated DLT rate at the current dose was below .15 or higher than .3"
28473406,NCT01940796,Escalation,3 + 3,"A standard 313 dose-escalation cohort (0.6 mg/kg,0.9 mg/kg, and 1.2 mg/kg) was planned to define the maximum tolerated dose (MTD). After treating the first 6 patients, the study was revised to dosing every 2 weeks for 4 doses only for safety purposes, and to enroll cohorts of 5 patients at each dose level (0.6 mg/kg, 0.8 mg/kg, 1.0 mg/kg, and 1.2 mg/kg)"
31619057,NA,Escalation,3 + 3,"This was a dose escalation study with three patients in each cohort, at the following dose levels: Cohort I: 3.2 mg/kg for 3 days, Cohort II: 3.2 mg/kg for 4 days, Cohort III: 4.3 mg/kg for 3 days, Cohort IV: 5.6 mg/kg for 2 days on Day –1 and Day –3, Cohort V: 5.6 mg/kg for 2 days on Day –1 and Day – 2, Cohort VI: 6.4 mg/kg for 2 days on Day –1 and Day –3, Cohort VII: 6.4 mg/kg for 2 days on Day –1 and Day –2. Ideal body weight was used for dose calculation, for males (kg) = [(height in cm/2.54)–60X2.3]+ 50, for females(kg)=[(height in cm/2.54)–60X2.3]+ 45.5. If the patient’s actual body weight was greater than 30% of the ideal weight then adjusted weight was used for dose calculation (Adjusted body weight (kg) = [(actual weight – ideal weight)X0.4] þ ideal weight"
33991360,NCT02311998,Escalation,3 + 3,"The bosutinib dose was escalated in a standard 3 + 3 design. Dose levels one, two and three corresponded to bosutinib 300 mg, 400 mg and 500 mg once daily. During cycle one, patients received inotuzumab ozogamicin intravenously (IV) at 0.8 mg/m2 on day 1 and 0.5 mg/m2 on days 8 and 15. Patients who responded later received inotuzumab ozogamicin 1.0 mg/m2 once every 4 weeks for five additional cycles (total six cycles). Each cycle was 28 days. Bosutinib was continued indefinitely until disease progression or unacceptable toxicity."
34614506,NCT03613532,Escalation,3 + 3,"Following the determination of MTD/RP2D using a standard 3+3 design, a 10-patient dose-expansion cohort was used to confirm safety. Patients who received at least one dose of venetoclax on trial were considered evaluable for all study endpoints"
9537208,NA,Escalation,3 + 3,"Paclitaxel was administered as a 24-hour intravenous infusion initiated to run concurrently with the last day of gallium nitrate in a separate intravenous line, according to the dosage-escalation schema in Table 1. Three patients were treated at each dosage level. "
17317832,NA,Escalation,3 + 3,"Three patients were entered at each dose level. In the absence of dose-limiting toxicity (DLT), the next dose level was explored. If DLT was seen in one patient, three further patients were added at that dose level and, if no additional DLT was seen, escalation to the next dose level occurred. If at least two patients had DLT at a given dose level, accrual to that dose level was stopped; this was the maximally administered dose. Further patients were then added, as required, to the previous dose level (and if necessary to lower dose levels) to establish the highest dose at which less than two of six patients had DLT. This was the MTD"
17066293,NA,Escalation,3 + 3,"The starting dose of DN-101 was 15 ug. The planned dose escalation called for the following doses: 30, 60, 90, 105, 135, 165, 210, 270, and 345 ug, continuing to increase by up to 30% until the maximum tolerated dose (MTD) was reached. At least three patients were to be enrolled at each dose level and monitored for 7 days before the dose was increased to the next dose level."
19396601,NA,Escalation,3 + 3,"Three patients were entered at each dose level. In the absence of DLT, the next dose level was explored. If DLT was seen in one patient, further three patients were added at that dose level and, if no additional DLT was seen, escalation to the next dose level occurred. If at least two patients had DLT at a given dose level, accrual to that dose level was stopped; this was the maximally administered dose. Further patients were then added, as required, to the previous dose level (and if necessary to lower dose levels) to establish the highest dose at which less than two out of six patients had DLT. This was the MTD"
21339064,NA,Escalation,3 + 3,"A dose escalation to the subsequent dose level was made if no DLT was seen in a cohort of three patients. If a DLT was seen in one of these patients, the cohort was expanded to six patients, with the maximum administered dose reached if two or more patients experienced a DLT. If none of the additional three patients had a DLT, then the dose could be escalated to the next level. The maximum administered dose was reached at the dose when two or more patients developed DLTs at the first cycle."
21606412,NCT00215605,Escalation,3 + 3,"Using a three-plus-three study design, patients were assigned to 13 dose levels exploring two different schedules of administration and formulations of cabozantinib. Dose levels one to nine (0.08, 0.16, 0.32, 0.64, 1.28, 2.56, 5.12, 7.68, and 11.52 mg/kg) explored an intermittent schedule (once daily for 5 days followed by 9 days rest) with a suspension formulation, dose levels 10 to 11 (175 and 265 mg) used continuous fixed daily dosing with a suspension formulation, and dose levels 12 to 13 (175 and 250mg) and theMTD (175mg) cohort used continuous fixed daily dosing with capsules. All patients were instructed to take cabozantinib in a fasting state (2 hours before and 1 hour after administration of cabozantinib). Patients continued to take cabozantinib until disease progression or unacceptable adverse events. Intrapatient dose escalation was allowed once the MTD was established with the capsule formulation, and dose holds and reductionswere allowedformanagement of adverse events (AEs"
22975213,NA,Escalation,Simon’s 4B design,"The study was based on Simon’s 4B design, with intrapatient dose escalation (Fig. 1A) to reduce patients’ exposure to ineffective doses and increase the speed of completion. four 5 mg/m2-increment dose escalations were scheduled from 10 mg/m2 and were capped at 30 mg/m2; accelerated dose escalation was planned, with the exception of the first dose level. Three patients were planned for inclusion at the first dose level to determine the PK parameters. At further dose levels, one patient per dose was planned for inclusion until an NDLT or DLT was observed. If the patient did not experience an NDLT or a DLT, a double-step dose increment (10 mg/m2) was allowed. If a patient experienced an NDLT, a total of three patients would be included at the dose level at which it occurred. The patient who experienced the NDLT should remain at the dose level. If the toxicity was dose limiting, a single-step de-escalation was permitted. If no DLT occurred among these three patients, a single-step increment (5 mg/m2) was permitted (Fig. 1A). Once a patient exhibited a DLT during their first cycle, five additional patients would be included at this dose level before dose escalation was permitted."
23435876,NA,Escalation,3 + 3," The starting dose of 1,25-D3 for this trial was 30 mcg/m2 I.V q 3 weeks. This dose was based on earlier dog studies [7]. Subsequent dose levels were 45, 60, and 80 mcg/m2. Three patients were entered at each dose level. In the absence of dose-limiting toxicity (DLT), the next dose level of 1,25-D3 was explored. If DLT was seen in one patient, three further patients were added at that dose level. If no additional DLT was seen, escalation to the next dose level occurred. MTD was the highest dose level that resulted in DLT in not more than 1 out of 6 patients. Intrapatient dose escalation was not permitted."
24099585, NCT01755390,Escalation,Simon's 4B design,"The dose escalation protocol was based on the Simon 4A design [14] without intrapatient dose escalation. At the first cycle, one patient per dose level was to be included until a non-DLT or DLT was observed. If the patient did not experience a non-DLT or DLT, a double-step (100%) dose increment was allowed. If any patient experienced a non-DLT at the first cycle, at least three patients were to be included at the dose level at which it occurred, with a single-step (40%) dose increment permitted if no DLT occurred among these three patients. If any patient exhibited a DLT at a given dose level, a total of at least six patients had to be included at that dose level. A single dose reduction was only to be made in the case of a DLT. The replacement of patients who were not eligible or evaluable was permitted during the first cycle. Patients who had withdrawn from the study were not re-included."
24488323,NA,Escalation,3 + 3,"The planned dose levels were 20 and 25 mg/m2. Three patients were treated with cabazitaxel at the initial dose of 20 mg/m2 and were assessed for dose-limiting toxicity (DLT, see below) in Cycle 1. If none of the 3 patients developed any DLT in Cycle 1, the dose was escalated to 25 mg/m2. If one of the 3 patients developed DLT, 3 additional patients were enrolled to receive a dose of 20 mg/m2, and the safety profiles were evaluated for all 6 patients. If no more than one of 6 patients developed DLT, the dose was escalated to 25 mg/m2. At a dose of 25 mg/m2, if none of the 3 patients developed any DLT in Cycle 1, this dose was designated the MTD, and no further dose escalation was conducted in this study. If one of the 3 patients developed DLT, 3 additional patients were enrolled to receive the dose of 25 mg/m2. If no more than one of the 6 patients developed DLT, this dose was designated as the MTD. If 2 or more of the 6 patients developed any DLT at the dose of 25 mg/m2 in Cycle 1, 20 mg/m2 was designated as the MTD, and 25 mg/m2 was designated as the maximum administered dose (MAD)."
25013124,NA,Escalation,3 + 3," Eight dose levels and three schedules were evaluated in sequential cohorts of 3 to 6 patients. Inecalcitol doses were escalated in the absence of dose limiting toxicity (DLT) during the 3 weeks following the initial administration. If DLT occurred in one patient, an additional 3 patients were then treated. The dose was only escalated if no further patients had DLT and was stopped if at least two patients had DLT. The recommended dose was the dose at which no more than one patient out of six experienced DLT. "
25117475,NCT00925743,Escalation,3 + 3,"doses were escalated according to a standard 3+3 design (based on the safety evaluation [DLTs] during Cycle 1), with cohorts of 3–6 patients receiving study treatment on Day 1 every 3 weeks. The starting dose level (dose level 0) was cabazitaxel/cisplatin 20/75 mg/m2. Planned dose levels 1 and –1 for cabazitaxel/cisplatin were 25/75 mg/m2 and 15/75 mg/m2, respectively. The MTD was defined as the highest dose at which none of three or one of six patients evaluable for DLT experienced a DLT during the first treatment cycle."
25486878,NCT01497964,Escalation,3 + 3,"Three dose levels (DL) were planned, and sequential cohorts of three to six patients were to be treated at each DL. The starting dose was 20 mg/m2 (DL 1), and the lowest and highest doses tested were 15 mg/m2 (DL −1) and 25 mg/m2 (DL 2), respectively, all administered once every 3 weeks. Enrollment to the next DL was not to proceed until at least three patients at the current DL had received at least one cycle of study treatment and had been evaluated for DLTs. Patients who were not evaluable for DLTs and/or withdrew during Cycle 1 for any reason other than a DLT were to be replaced. The maximum tolerated dose (MTD) was defined as the highest DL up to 25 mg/m2 at which no more than one of six evaluable patients experienced a DLT during Cycle 1."
26020806,NCT01001221,Escalation,3 + 3,"A standard 3 +3 study design was to beused, with cohorts of three to six patients receivingcabazitaxel on Day 1, followed by gemcitabine on Day 1and Day 8 (part 1a). The administration sequence of thedrugs on Day 1 was to be reversed in part 1b. A 7-day gapbetween enrollment of the first patient and enrollment ofthe subsequent two patients was to be incorporated to allow toxicity to be evaluated. If none of the three patients experienced a DLT during cycle 1, the dose was to be escalated to the next higher dose level. If one of the three patients experienced a DLT during cycle 1, up to three more patients were to be enrolled at the same dose level. If two or more patients experienced a DLT, no further dose escalation was to be performed and additional patients were to be enrolled at a lower dose to confirm the MTD. "
27439894,NCT01663272,Escalation,TITE-CREM algorithm,"The study design was intended to deliver gemcitabine at usual dose and schedule and escalate cabozantinib from a starting dose level of 20 mg daily to doses tolerable as a single agent (60–80 mg). Dose levels investigated are depicted in Table 2. The starting dose level (1) was cabozantinib 20 mg orally daily and gemcitabine 1000 mg/m2. Doses were assigned in accordance with a Time to Event Continual Reassessment Method (TITE-CRM) [21, 22]. Dose level escalation could not occur until at least two patients had been observed for the entire DLT interval at a dose level."
28039155,NCT01511536,Escalation,3 + 3,"In the phase I part of the study, cohorts of three to six patients received one of two cabazitaxel dose levels (20 or 25 mg/m2) by 1-h intravenous infusion on day 1 of each 3-weekly cycle, according to a standard 3 + 3 dose escalation design. The recommended dose of cabazitaxel was determined as 20 and 25 mg/m2 in early phase I studies [5, 6]; therefore both doses were assessed in combination with abiraterone. In the phase I dose escalation part of the study, 9 out of 10 patients were evaluable for DLTs. Three patients receiving cabazitaxel 20 mg/m2 and six patients receiving cabazitaxel 25 mg/m2 completed two treatment cycles without experiencing any DLTs."
28058445,NCT01140607,Escalation,3 + 3,"According to the cabazitaxel dose-escalation schedule and dose-escalation decision rules defined in the protocol, which specified different starting dose levels for each cohort and were based on the number of dose-limiting toxicities (DLTs) observed at the different dose levels, a total of 39–75 patients were expected to be enrolled. This sample size would ensure that at least six patients would be enrolled in Cohort 1, 12 patients at MTD in Cohort 2, six patients at MTD in Cohort 3, and six patients at MTD in Cohort 4, in order to evaluate the safety and PK profile of cabazitaxel."
27862097,NCT01513733,Escalation,3 + 3," This was a single arm, dose escalation, open label, prospective trial. Oral tasquinimod was evaluated at three dose levels (0.25, 0.5, and 1.0 mg all daily) in combination with cabazitaxel 25 mg/m2 every 3 weeks. Treatment for all cohorts started at 0.25 mg once daily, with dose escalation at dose level 2–0.5 mg after 3 weeks, and at dose level 3–0.5 mg after 3 weeks and to 1.0 mg daily after 6 weeks if tolerated. A 3 + 3 dose escalation design was used with a prolonged DLT observation period of 6 weeks (dose level 1), 9 weeks (dose level 2), and 12 weeks (dose level 3) due to an intra-individual dose escalation of tasquinimod from a starting dose of 0.25 mg for the first 3 weeks. The protocol was amended for dose level 2, to permit dose escalation if 4 or fewer DLTs were observed out of 12 treated subjects. Dose expansion at the MTD was planned for an additional 14 patients with a total sample size of up to 38 men to assess further safety and drug–drug PK interaction analysis."
28352985,NCT00596648,Escalation,3 + 3,"Phase I was a 3+3 dose escalation/de-escalation design in 2 parallel arms: Arm A maximized the dose of cabozantinib [to a maximum dose of 140 mg qd (the single-agent MTD)] [22], and Arm B maximized the dose of erlotinib [to a maximum dose of 150  mg  qd (the label dose for NSCLC)] [23]. Primary objectives in phase I were to evaluate the safety and tolerability of cabozantinib and erlotinib administered in combination, to determine a MTD of the combination, and to characterize the pharmacokinetic (PK) parameters of single-agent erlotinib (run-in period) and cabozantinib in combination with erlotinib. Exploratory objectives included the assessment of objective response rate (ORR). Erlotinib was administered as a single agent on days −14 to −1 (run-in period) at the dose used during subsequent treatment with the combination. After PK evaluation of erlotinib alone on day 1, cabozantinib was administered in combination with erlotinib qd in 28-day cycles."
28263212,NA,Escalation,3 + 3,"The design of this dose escalation study is shown in Table 1. Six cycles of 3-weekly cabazitaxel were administered at increasing dosages, either cabazitaxel 20 or 25 mg/m2. 188Re-HEDP 40 MBq/kg (1.1 mCi/kg) was administered after the second and after the fourth cycle of cabazitaxel. The injection of 188Re-HEDP was followed by a 4-week interval before the next cycle of cabazitaxel was administered. Inclusion started in dose level 1; dose level −1 was to be used only if dose level 1 was not tolerated. 188Re-HEDP was produced as described in literature.11 Three patients were assigned to each dose level. If a dose-limiting toxicity (DLT) occurred in 1 of 3 patients in a particular dose level, the group was expanded to 6 patients. When none of the 3 patients (or ≤1 of 6) in a dose level experienced a DLT in this period, the next patients could be included in the next dose level. A dose reduction for cabazitaxel (25 mg/m2 to 20 mg/m2) was given when a patient experienced a DLT. No more than 1 dose reduction was allowed"
28688700,NA,Escalation,Fibonacci schedule,"Five dose levels of cabazitaxel were tested in combination with cisplatin 100 mg/m2 and 5-FU 800 mg/m2/d X 4 days (Table 3). Treatment cohorts were dosed in escalating order until MTD was established. Dose escalation for the subsequent cohort was permitted only after all patients in the previous cohort had completed the first 3 week cycle of Ca-PF and have been evaluated for safety and toxicity. Intra-patient dose escalation of Cabazitaxel was not permitted. Once the DLTs and MTD were identified, the dose escalation for cabazitaxel with standard dose (100 mg/m2) cisplatin was terminated and 3 dose levels were then tested with cisplatin 75 mg/m2 and 5-fluorouracil (FU) 800 mg/m2/day X 4 days. Based on available Phase III data from other studies, there was a concern for increased toxicity and lack of increased efficacy with doses higher than 22.5 mg/m2 of cabazitaxel [13,14]. Thus the study was scheduled to be terminated at 22.5 mg/m2 even if no DLTs were reported in the 9 additional patients accrued at that dose level."
28960265,NCT01961765,Escalation,3 + 3,"The first dose level was 40 mg by mouth daily, a dose previously demonstrated to be relatively well tolerated by patients with solid tumor malignancies. Cabozantinib was administered in 28-day cycles, and dose escalation occurred via 3 cohorts (40, 60, and 80 mg daily). The escalation to each successive dose level was guided by the incidence of dose-limiting toxicities (DLTs) during cycle 1 of the treatment."
29882250,NA,Escalation,3 + 3,"Part A employed a standard 3 + 3 design to evaluate three dose levels of cabozantinib (20, 40, and 60 mg/day orally) in combination with abiraterone acetate 1000 mg orally daily and prednisone 5 mg orally twice daily to establish the recommended phase two doses (RP2D) of the combination."
29693796,NCT01709435,Escalation,rolling-six design,"Cabozantinib (20 and 60 mg tablets supplied by Exelixis and distributed by the National Cancer Institute's Division of Cancer Treatment and Diagnosis) was administered orally in a fasted state (2 hr after or 1 hr before food) to achieve a weekly cumulative dose on a continuous dosing schedule in 28 day cycles. Due to limitations of available tablet strengths, dosing was based on a nomogram to achieve a total weekly dose within 10% of the intended dose (Supplementary Table S1). Three dose levels were evaluated: 30, 40, and 55 mg/m2/day (d). The trial was conducted in several parts: in Part A, the starting dose was 30 mg/m2/d with escalation to 40 and 55 mg/m2/d in subsequent cohorts utilizing the rolling-six design"
29750396,NCT01751308,Escalation,3 + 3,"The phase 1 study enrolled patients with refractory/recurrent solid tumors, including CNS tumors, between February 2013 and August 2014. The primary objective was to assess dose limiting toxicities (DLTs) and determine the maximum tolerated dose (MTD). The starting cabazitaxel dose was 20 mg/m2 (80% of the MTD in adults)28 and, if tolerated, the dose would be escalated to 25, 30, 35, and 40 mg/m2. If DLTs were observed at 20 mg/m2, the dose would be decreased to 15 mg/m2."
31765988,NA,Escalation,rolling-six design,"For dose escalation, a rolling-six design [19] was used, with three oral AZD8931 dose levels: 20 mg bd, 40 mg bd, and 60 mg bd. Two intermittent schedules of AZD8931 were investigated once recruitment to the 20 mg bd group was complete: 14 days on/7 days off (schedule 1) and 4 days on/3 days off every week in a cycle (schedule 2). Patients would receive oral AZD8931 monotherapy twice daily for three days, then together with Xelox chemotherapy from day 4 for eight 21-day cycles (Xelox: oxaliplatin at 130 mg/m2 IV over 2 h on day one of every cycle; capecitabine 1250 mg/m2 bd for cycle duration)."
32175106,NA,Escalation,3 + 3,"Dosing of tosedostat during the phase Ib (lead-in phase) followed a 3+3 dose de-escalation design beginning with tosedostat 120 mg oral twice daily (dose level 0) on days 1–21 of each 21-day cycle. In the event of dose-limiting toxicity (DLT) at dose level 0, tosedostat was to be dose-reduced to 60 mg twice daily (dose level 1); no further dose-reductions were allowed. Capecitabine dosing began at the standard dose of 1,000 mg/m2 twice daily (dose level 0) on days 1–14 of each 21-day cycle. For adverse events that were deemed related to capecitabine, dose reduction to 750 mg/m2twice daily (dose level 1) and 500 mg/m2 twice daily (dose level 2) were allowed. Dose re-escalation was not allowed. "
33206291,NCT01588522,Escalation,3 + 3,"A standard 3+3 dose-escalation design was employed with three to six patients at each of six dose levels. Eligible patients applied a total of 1 ml of the topical formulation of BPM31543 to their entire scalp. It was applied separately to each of the four quadrants of the scalp (front right, front left, back right, and back left) with the provided metered pump spray unit twice daily for 2 weeks (or 7 days±2 days if the patient was unable to undergo 2 weeks of pre-treatment) prior to the frst dose of chemotherapy. Patients continued the application twice daily until termination of chemotherapy treatment (up to a maximum of 54 weeks) or until they developed total alopecia. To determine maximum tolerated dose (MTD), dose escalation was conducted in stepwise increments based on the immediate prior dose group, in the absence of Grade 3 or greater toxicities attributed to the topical BPM31543."
33469991,NCT02008383,Escalation,3 + 3,The dose-finding cohort used a “3+3” design to determine the MTD of cabozantinib and panitumumab. Up to 6 subjects were planned in each dose level. The number of subjects in the dose-finding part of the study depended upon the frequency of DLT events. 
32969563,NCT01683994,Escalation,3 + 3,"In the phase 1, open-label study with a 3 + 3 design, patients received escalating oral doses of cabozantinib tablets starting at 20, 40 and 60 mg daily in combination with docetaxel 75 mg/m2 i.v. on day 1 of each 21-day cycle and prednisone 5 mg orally twice daily"
34019214, NCT04097444,Escalation,3 + 3,"We used a 3 + 3 dose-escalation or de-escalation design; if no doselimiting toxicities (DLTs) were recorded in the first treatment cycle, the doses were escalated to the next level in the additional three patients. If DLTs occurred in one patient during the firstcycle, three additional patients would be treated at that doselevel. The dose schedule of CAPOXIRI plus bevacizumab was as follows: bevacizumab (7.5 mg/kg) infusion for 30–90 min, irinotecan infusion for 1 h, oxaliplatin infusion for 2 h, and capecitabine (1600 mg/m2/day) for 1–14 days every 3 weeks. In dose escalation or de-escalation analysis, the following four levels of CAPOXIRI doses were investigated by including every three patients: irinotecan (200 mg/m2) and oxaliplatin (130 mg/m2) for level + 1; irinotecan (200 mg/m2) and oxaliplatin (100 mg/m2) for level 0; irinotecan (180 mg/m2) and oxaliplatin (100 mg/m2) for level − 0.5; and irinotecan (150 mg/m2) and oxaliplatin (100 mg/m2) for level − 1. The starting dose was level 0. CAPOXIRI plus bevacizumab was administered for up to six cycles (maximum eight cycles), followed by the maintenance of capecitabine plus bevacizumab or 5-FU/l-LV plus bevacizumab by investigator’s discretion until disease progression or unacceptable toxicities occurred."
32584367,NCT01702558,De-escalation,3 + 3,"Two possible dose levels were identified for the LA/mGC cohort as part of a de-escalation design, starting with the capecitabine MTD from the mBC cohort (700 mg/m2; dose level −1) (eFigure 1). If dose level −1 was well-tolerated (DLT in ≤1/6 patients), it would be established as the MTD for LA/mGC; if it was not tolerated (DLT in >1/6 patients), dosage would be de-escalated to dose level −2. Capecitabine was given BID (days 1–14 of a 3-week cycle) with T-DM1 2.4 mg/kg weekly (QW). QW dosing of T-DM1 was used for the phase I LA/mGC cohort to provide higher drug exposure based on studies indicating that 1) trastuzumab exposure is lower in LA/mGC than that observed in breast cancer,1 and 2) that T-DM1 QW dosing may provide higher cumulative T-DM1 exposure than the Q3W schedule.2"
32253554,NA,Escalation,3 + 3,"This phase 1 study followed a traditional “3+3” design [17]. Three escalating doses of TMZ were evaluated in combination in TAS-102 as outlined above. If no DLT was observed in the first 3 patients on dose level 1, a new cohort of 3 patients was treated at the next higher dose level. If one of the initial 3 patients developed a DLT, then 3 additional patients (total of 6) were treated on that same dose level. If DLT is observed in only one of 6 patients at a given dose level, the next cohort of patients was allowed to start at the next higher dose level. If two or more patients experienced DLT at a particular dose level, then the dose escalation scheme would have ceased and any subsequent patients would be treated at the previous (lower) dose level. If dose level 3 is reached and doesn’t show at least 1 DLT out of 3 or 2 out of 6, then it would be judged to be the MTD."
32382808,NTR4639,Escalation,3 + 3,"A classical 3 + 3 dose escalation design was applied. [18] The capecitabine dose was escalated according to five predefined dose levels (1000, 1275, 1600, 2000 and 2550 mg/m2 total daily dose). The total daily dose was divided in morning and evening doses that were administered at 9:00 h and 24:00 h (± 1 h), respectively, according to a 3:5 (morning: evening) ratio, based on the 3:5 ratio in trough to peak DPD activity observed in healthy volunteers"
25117475,NCT00925743,Escalation,3 + 3,"In Part 1, doses were escalated according to a standard 3 + 3 design (based on the safety evaluation [DLTs] during Cycle 1), with cohorts of 3–6 patients receiving study treatment on Day 1 every 3 weeks. The starting dose level (dose level 0) was cabazitaxel/cisplatin 20/75 mg/m2. Planned dose levels 1 and –1 for cabazitaxel/cisplatin were 25/75 mg/m2 and 15/75 mg/m2, respectively. The MTD was defined as the highest dose at which none of three or one of six patients evaluable for DLT experienced a DLT during the first treatment cycle. The maximum administered dose (MAD) was defined as the dose level at which at least two patients evaluable for DLT developed a DLT during the first treatment cycle."
32915679,NCT02496208,Escalation,rolling-six design,Two to six patients could be concurrently enrolled onto a dose level.
33452614,NA,Escalation,accelerated titration ,"Initial dose escalation followed the accelerated titration design with single subjects per cohort with a dose increment of 100% from the previous dose to minimize the number of subjects treated at subtherapeutic doses. Accelerated titration design would stop if one grade ≥2 adverse event according to the NCI Common Terminology Criteria for Adverse Events version 4 (NCI-CTCAE, v4) occurred during cycle 1 or one DLT event during cycle 1. Dose escalation would then follow traditional “3 þ 3” design guided by the modified continuous reassessment method using a Bayesian logistic regression model and escalation with overdose control"
29882250,NA,Escalation,3 + 3,"This two-stage study consisted of a dose-escalation stage (Part A) followed by a dose-expansion stage (Part B). Part A employed a standard 3 + 3 design to evaluate three dose levels of cabozantinib (20, 40, and 60 mg/day orally) in combination with abiraterone acetate 1000 mg orally daily and prednisone 5 mg orally twice daily to establish the recommended phase two doses (RP2D) of the combination. Part B was an expansion phase including up to three dose levels determined to be safe and tolerable in Part A. The cohorts could be expanded to a maximum of 12 subjects at each dose level (including the subjects from Part A). Treatment in all cohorts was continued until disease progression, unacceptable toxicity, initiation of another cytotoxic or investigational agent, or discontinuation at the investigator's discretion"
21339064,NA,Escalation,3 + 3,"A dose escalation to the subsequent dose level was made if no DLT was seen in a cohort of three patients. If a DLT was seen in one of these patients, the cohort was expanded to six patients, with the maximum administered dose reached if two or more patients experienced a DLT. If none of the additional three patients had a DLT, then the dose could be escalated to the next level. The maximum administered dose was reached at the dose when two or more patients developed DLTs at the first cycle. The MTD was defined as the highest dose at which no more than one of three or six patients experienced a DLT during the first 3 weeks of treatment with cabazitaxel and capecitabine. Patients enrolled in the second part of the study received the combination at the determined MTD, with the aim of assessing the safety profile and response rate."
29693796, NCT01709435,Escalation,rolling-six design,"Three dose levels were evaluated: 30, 40, and 55 mg/m2/day (d). The trial was conducted in several parts: in Part A, the starting dose was 30 mg/m2/d with escalation to 40 and 55 mg/m2/d in subsequent cohorts utilizing the rolling-six design"
25577134, UMIN000005440,Escalation,3 + 3,"Treatment, given intravenously, consisted of bevacizumab 7.5 mg/kg on day 1 (the first infusion was delivered over 90 min, the second infusion over 1 h, and subsequent infusions over 30 min) followed by variable doses of irinotecan (100, 120, 150 mg/m2 for dose levels 1, 2, and 3) in 250 ml of normal saline over 1 h on day 1, immediately followed by oxaliplatin 100 mg/m2 in 250 ml dextrose 5 %, and followed by capecitabine (1,700 mg/m2 per day) orally from day 2 to 15. Treatment was administered every 3 weeks for a maximum of 12 cycles, or fewer cycles if there was evidence of disease progression, unacceptable toxicity, or patient refusal. The dose was escalated if no DLT occurred in the first three patients or in fewer than two of six patients. The MTD was defined as the dose level associated with DLT in at least two of three or two of six patients. The RD was defined as the dose level preceding the MTD. If the MTD was not reached at the planned dose levels, the RD of irinotecan was defined as 150 mg/m2 , which is the maximum dosage approved for use in Japan."
25318436,NA,Escalation,3 + 3,"This was a phase I dose escalation study using a standard 3+3schema (see Table 1). The starting dose of capecitabine was 1,000 mg/m2 BID for 14 days of a 21 day cycle and was not escalated throughout the study. The RO4929097 dose was initiated at 20 mg orally daily for three consecutive days followed by 4 days off (days 1–3, 8–10 and 15–17), and escalated as seen in Table 1"
29725881,NCT01129310,Escalation,Bryant and Day two-stage design,"The Bryant and Day two-stage design was used with dual primary endpoints of objective response rate (ORR) and toxicity. For the sample size calculation, a response rate of ≥65% was deemed significant, while a response rate of ≤45% was considered non-significant, with α = 0.10 and β = 0.20. This design required initial accrual of 15 patients (Stage I). If <7/15 patients achieved a response or ≥ 6/15 patients experienced dose-limiting toxicity, accrual was to be terminated with the conclusion that IXO was not active or too toxic. If active and tolerable, accrual to a total of 50 patients would proceed in the second stage. If>19/35 patients in stage II (26/50 study total) achieved a response and if ≤17/35 patients in stage II (23/50 study total) experienced dose-limiting toxicity, IXO will be declared active and tolerable. Eligible patients were treated in either dose level one (DL1) (O-100 mg/m2 administered intravenously (IV) on day 1, I-160 mg/m2 administered IV day 1, and X-1900 mg/m2/day PO in 2 divided doses on days 2–15) or mIXO (day 1 O-85 mg/m2 IV & I-120 mg/m2 IV, day 2–15 X-1425 mg/m2/day PO in 2 divided doses) in a 21-day cycle. "
28973403,NCT01791374,Escalation,3 + 3,"Part 1 was a dose-escalation study that started with a cohort of three patients who received rilotumumab 10 mg/kg intravenously (IV) every 2 weeks (Q2W). If no dose-limiting toxicities (DLTs) occurred, a second cohort of six patients was to receive rilotumumab 20 mg/kg IV Q2W. If one DLT occurred, three additional patients were to be added to the first cohort. If no additional DLTs occurred in the six patients, then the second cohort was to open. If two DLTs occurred, an additional three patients were to be added to the first cohort for a total of nine patients. Only in the absence of additional DLTs in the nine patients was the second cohort to open. If three or more DLTs occurred at any time, enrollment was to be stopped and the study was to be completed. Doses in this study were based on the first-inhuman study in which the highest doses tested were 10 and 20 mg/kg Q2W and the maximum tolerated dose was not reached. In Part 2, rilotumumab 15 mg/kg was given once every 3 weeks (Q3W) in combination with CX chemotherapy. The dose was based on a Phase 1b study in gastric cancer in which 15 mg/kg Q3W was evaluated in combination with ECX chemotherapy (8). An initial cohort of six patients was evaluated for DLTs at the 15-mg/kg Q3W dose. If one or fewer DLT was observed, then the regimen was considered to be tolerable. If two DLTs occurred in the six patients, an additional three patients were to be added to the cohort. If two or fewer DLTs occurred in the nine patients, the regimen was considered to be tolerable. An additional six patients were to be evaluated at the tolerable dose."
